word,pos,meaning
agenda,noun,議題
applicant,noun,応募者
asset,noun,資産
authority,noun,権限
budget,noun,予算
candidate,noun,候補者
capacity,noun,容量
commodity,noun,商品
complaint,noun,苦情
contract,noun,契約
criteria,noun,基準
deadline,noun,締切
deficit,noun,赤字
device,noun,装置
discount,noun,割引
division,noun,部門
document,noun,書類
equipment,noun,設備
estimate,noun,見積もり
expense,noun,費用
facility,noun,施設
fund,noun,資金
inventory,noun,在庫
invoice,noun,請求書
liability,noun,負債
acquire,verb,獲得する
allocate,verb,割り当てる
approve,verb,承認する
assess,verb,評価する
attend,verb,出席する
authorize,verb,権限を与える
comply,verb,従う
contribute,verb,貢献する
coordinate,verb,調整する
decline,verb,減少する
deliver,verb,配達する
distribute,verb,配布する
enhance,verb,強化する
expand,verb,拡大する
generate,verb,生み出す
implement,verb,実行する
maintain,verb,維持する
negotiate,verb,交渉する
obtain,verb,得る
postpone,verb,延期する
purchase,verb,購入する
recommend,verb,推薦する
reduce,verb,減らす
retain,verb,保持する
submit,verb,提出する
accurate,adjective,正確な
affordable,adjective,手頃な
available,adjective,利用可能な
confidential,adjective,機密の
consistent,adjective,一貫した
crucial,adjective,重要な
efficient,adjective,効率的な
eligible,adjective,資格のある
flexible,adjective,柔軟な
frequent,adjective,頻繁な
initial,adjective,初期の
mandatory,adjective,義務的な
mutual,adjective,相互の
numerous,adjective,多数の
optional,adjective,任意の
potential,adjective,潜在的な
previous,adjective,前の
reliable,adjective,信頼できる
significant,adjective,重要な
substantial,adjective,かなりの
approximately,adverb,おおよそ
briefly,adverb,簡潔に
constantly,adverb,常に
currently,adverb,現在
deliberately,adverb,意図的に
efficiently,adverb,効率的に
eventually,adverb,最終的に
frequently,adverb,頻繁に
initially,adverb,最初に
instantly,adverb,即座に
mutually,adverb,相互に
nearly,adverb,ほぼ
occasionally,adverb,時折
particularly,adverb,特に
previously,adverb,以前に
promptly,adverb,迅速に
readily,adverb,容易に
relatively,adverb,比較的
simultaneously,adverb,同時に
thoroughly,adverb,徹底的に
audit,noun,監査
benchmark,noun,基準
brand,noun,ブランド
campaign,noun,キャンペーン
client,noun,顧客
contractor,noun,請負業者
merger,noun,合併
policy,noun,方針
strategy,noun,戦略
accommodation,noun,宿泊施設
advertisement,noun,広告
agreement,noun,合意
announcement,noun,発表
application,noun,申請
appointment,noun,予約
approval,noun,承認
arrangement,noun,手配
assignment,noun,任務
attendance,noun,出席
authorization,noun,認可
bankruptcy,noun,破産
branch,noun,支店
broker,noun,仲介業者
certificate,noun,証明書
clientele,noun,顧客層
commission,noun,手数料
compliment,noun,賛辞
conclusion,noun,結論
conference,noun,会議
confirmation,noun,確認
consent,noun,同意
consultation,noun,相談
convenience,noun,便利さ
adapt,verb,適応する
adjust,verb,調整する
advertise,verb,宣伝する
affect,verb,影響を与える
anticipate,verb,予期する
assemble,verb,組み立てる
attach,verb,添付する
calculate,verb,計算する
clarify,verb,明確にする
collaborate,verb,協力する
compensate,verb,補償する
conclude,verb,結論づける
confirm,verb,確認する
consolidate,verb,統合する
construct,verb,建設する
consult,verb,相談する
convert,verb,変換する
define,verb,定義する
delegate,verb,委任する
demonstrate,verb,実演する
detect,verb,検出する
determine,verb,決定する
eliminate,verb,排除する
