word, pos, meaning, level
representative, 名詞, 代表者、代理人, 700
inquiry, 名詞, 問い合わせ、調査, 700
replacement, 名詞, 交換、代替, 700
certificate, 名詞, 証明書、免許, 700
precaution, 名詞, 予防、用心, 700
assignment, 名詞, 任務、割り当て, 700
consequence, 名詞, 結果、影響, 700
premise, 名詞, 前提、仮定, 700
qualification, 名詞, 資格、適性, 700
reference, 名詞, 参照、言及, 700
substitute, 名詞, 代替、代理, 700
privilege, 名詞, 特権、恩恵, 700
contribution, 名詞, 貢献、寄付, 700
inspection, 名詞, 検査、視察, 700
transition, 名詞, 移行、変遷, 700
compensation, 名詞, 補償、報酬, 700
institute, 動詞, 設立する、研究所, 700
correspondent, 名詞, 通信員、文通者, 700
recession, 名詞, 不況、後退, 700
deficit, 名詞, 赤字、不足, 700
aquaintance, 名詞, 知人、面識, 700
patent, 名詞, 特許、特許権, 700
suburb, 名詞, 郊外, 700
anticipate, 動詞, 予期する, 700
implement, 動詞, 実行する、道具, 700
restore, 動詞, 回復する、修復する, 700
resume, 動詞, 再開する, 700
suspend, 動詞, 一時停止する, 700
acknowledge, 動詞, 認める, 700
predict, 動詞, 予測する, 700
authorize, 動詞, 許可する, 700
eliminate, 動詞, 除去する, 700
specify, 動詞, 明確にする, 700
retain, 動詞, 保持する, 700
accomplish, 動詞, 成し遂げる, 700
involve, 動詞, 関与する, 700
locate, 動詞, 位置づける, 700
quote, 動詞, 引用する, 700
undergo, 動詞, 経験する, 700
accumulate, 動詞, 蓄積する, 700
mount, 動詞, 増加する、登る, 700
significant, 形容詞, 重要な, 700
relevant, 形容詞, 関連する, 700
valid, 形容詞, 有効な, 700
overseas, 形容詞, 海外の, 700
prominent, 形容詞, 著名な, 700
adequate, 形容詞, 適切な, 700
exclusive, 形容詞, 排他的な, 700
substantial, 形容詞, かなりの, 700
desirable, 形容詞, 望ましい, 700
artificial, 形容詞, 人工的な, 700
prosperous, 形容詞, 繁栄した, 700
subtle, 形容詞, 微妙な, 700
favorable, 形容詞, 好意的な, 700
punctual, 形容詞, 時間を守る, 700
spectacular, 形容詞, 壮観な, 700
utmost, 形容詞, 最大限の, 700
apparent, 形容詞, 明白な, 700
preliminary, 形容詞, 予備の, 700
perishable, 形容詞, 腐りやすい, 700
capability, 名詞, 能力, 700
